num_season,tribe,iter_num,num_contestants,merge,african_american,asian_american,latin_american,poc,jewish,muslim,lgbt,male,female,non_binary,color
1,Tagi,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,4,0,Orange
1,Pagong,1.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4,4,0,Yellow/Gold
1,Rattana,0.0,10,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5,0,Green
2,Kucha,1.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,4,4,0,Blue/Teal
2,Ogakor,1.0,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,4,0,Green
2,Barramundi,0.0,10,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5,5,0,Orange
3,Boran,1.0,8,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4,4,0,Yellow/Gold
3,Samburu,1.0,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4,4,0,Red
3,Boran,2.0,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4,2,0,Yellow/Gold
3,Samburu,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3,0,Red
3,Moto Maji,0.0,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6,4,0,Green
4,Maraamu,1.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4,4,0,Yellow/Gold
4,Rotu,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4,0,Blue/Teal
4,Maraamu,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,Yellow/Gold
4,Rotu,2.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5,3,0,Blue/Teal
4,Soliantu,0.0,10,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5,5,0,Magenta
5,Chuay Gahn,1.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4,4,0,Orange
5,Sook Jai,1.0,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,4,0,Purple
5,Chuay Jai,0.0,8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,3,0,Yellow/Gold
6,Tambaqui,1.0,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,0,0,Blue/Teal
6,Jaburu,1.0,8,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0,8,0,Yellow/Gold
6,Tambaqui,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,Blue/Teal
